id,category,question
916,Profile/Bio,What are your career goals for the next 2 years? (focus on numbers)
917,Role/Company Fit & Match Score,What evidence supports your fit for ML Engineer?
918,Career Gaps,How do you ensure a smooth ramp-up after a gap? (please be concise)
919,Profile/Bio,What is your leadership style?
920,Certifications,Why did you choose to certify in Redis?
921,Achievements & Impact,What is a metric you significantly improved? (please be concise)
922,Skills & Tech Stack,Rate your proficiency in Hadoop.
923,Skills & Tech Stack,What is your experience with testing frameworks? (STAR format)
924,Skills & Tech Stack,Rate your proficiency in MongoDB.
925,Experience & Projects,What trade-offs did you make in the CI/CD pipeline overhaul?
926,Education,What was your GPA/percentage (if you share)? (keep it under 60 seconds)
927,Profile/Bio,What are your preferred working hours? (keep it under 60 seconds)
928,Achievements & Impact,Have you spoken at conferences or meetups?
929,Achievements & Impact,List your top professional achievements. (detail your role)
930,Achievements & Impact,Share a quantifiable impact you delivered. (please be concise)
931,Experience & Projects,How did you measure success for real-time analytics system? (focus on numbers)
932,Certifications,How have certifications helped you at work? (focus on numbers)
933,Experience & Projects,What challenges did you overcome in the payment gateway integration?
934,Experience & Projects,Describe your contribution to the payment gateway integration.
935,Profile/Bio,What are your top strengths in one line? (STAR format)
936,Education,What certifications complement your degree? (keep it under 60 seconds)
937,Behavioral & Soft Skills,How do you mentor or coach others?
938,Skills & Tech Stack,Which cloud platforms do you know (AWS/Azure/GCP)? (please be concise)
939,Career Gaps,How do you explain your career break from Jan 2022 to Aug 2022? (STAR format)
940,Profile/Bio,How do you handle feedback? (STAR format)
941,Experience & Projects,What trade-offs did you make in the microservices migration?
942,Behavioral & Soft Skills,How do you handle tight deadlines? (detail your role)
943,Experience & Projects,What challenges did you overcome in the e-commerce platform?
944,Skills & Tech Stack,"How do you implement observability (logs, metrics, traces)? (STAR format)"
945,Experience & Projects,Describe a time you optimized cost or latency. (keep it under 60 seconds)
946,Skills & Tech Stack,Could you summarize your core competencies and toolchain.
947,Experience & Projects,What tech stack did you use for {PROJECT}?
948,Certifications,How do you validate hands-on skills beyond certs? (please be concise)
949,Skills & Tech Stack,Rate your proficiency in Python.
950,Profile/Bio,What's a quick overview of your professional background? (detail your role)
951,Experience & Projects,How did you ensure reliability and uptime? (STAR format)
952,Skills & Tech Stack,What is your experience with REST vs GraphQL? (please be concise)
953,Skills & Tech Stack,Which cloud platforms do you know (AWS/Azure/GCP)? (keep it under 60 seconds)
954,Experience & Projects,Describe a zero-to-one project you led. (please be concise)
955,Behavioral & Soft Skills,Describe a conflict you resolved.
956,Profile/Bio,How do you handle feedback?
957,Work Preferences & Availability,Are you open to relocation to Pune?
958,Skills & Tech Stack,What is your experience with REST vs GraphQL? (STAR format)
959,Achievements & Impact,Have you won any awards or recognitions? (keep it under 60 seconds)
960,Certifications,Are your cloud certifications current? (detail your role)
961,Profile/Bio,Which locations are you open to? (STAR format)
962,Role/Company Fit & Match Score,What gaps would you close to excel as a Product Engineer?
963,Experience & Projects,What challenges did you overcome in the observability stack revamp?
964,Achievements & Impact,Have you won any awards or recognitions? (please be concise)
965,Skills & Tech Stack,"Have you implemented Infrastructure as Code (e.g., Terraform)? (keep it under 60 seconds)"
966,Experience & Projects,What trade-offs did you make and why?
967,Skills & Tech Stack,Have you built real-time systems (WebSockets/streaming)?
968,Experience & Projects,How did you collaborate with designers/product managers? (STAR format)
969,Skills & Tech Stack,What is your experience with data pipelines? (please be concise)
970,Achievements & Impact,Share a quantifiable impact you delivered. (STAR format)
971,Profile/Bio,What's a quick overview of your professional background? (STAR format)
972,Skills & Tech Stack,What databases have you used? (please be concise)
973,Role/Company Fit & Match Score,Map your skills to the Frontend Engineer job description.
974,Education,What was your specialization? (detail your role)
975,Experience & Projects,How do you ensure accessibility in your products? (STAR format)
976,Certifications,Are your cloud certifications current? (focus on numbers)
977,Skills & Tech Stack,How do you containerize applications?
978,Profile/Bio,How would you describe yourself in one paragraph? (keep it under 60 seconds)
979,Role/Company Fit & Match Score,"On a 0–100 scale, what's your match score for Frontend Engineer?"
980,Achievements & Impact,Have you mentored juniors or led a guild? (please be concise)
981,Career Gaps,How do you explain your career break from {DATE_FROM} to {DATE_TO}? (keep it under 60 seconds)
982,Work Preferences & Availability,Open to weekend or flexible hours if needed?
983,Profile/Bio,Give a brief bio of {NAME}. (focus on numbers)
984,Skills & Tech Stack,Which design patterns do you commonly use? (please be concise)
985,Skills & Tech Stack,What backend frameworks have you used? (keep it under 60 seconds)
986,Profile/Bio,How would you describe yourself in one paragraph? (focus on numbers)
987,Skills & Tech Stack,Rate your proficiency in Jenkins.
988,Skills & Tech Stack,How would you rate your proficiency in GraphQL.
989,Skills & Tech Stack,What's your experience with security best practices? (focus on numbers)
990,Role/Company Fit & Match Score,"On a 0–100 scale, what's your match score for Data Engineer?"
991,Experience & Projects,What was your contribution to architecture decisions?
992,Education,Have you completed online courses or MOOCs?
993,Achievements & Impact,Share a time you reduced costs or increased revenue. (focus on numbers)
994,Skills & Tech Stack,Self-assess your proficiency in your proficiency in Flask.
995,Achievements & Impact,What is a metric you significantly improved? (keep it under 60 seconds)
996,Role/Company Fit & Match Score,"On a 0–100 scale, what's your match score for Cloud Engineer?"
997,Experience & Projects,What did you learn from a failed experiment? (keep it under 60 seconds)
998,Career Gaps,Were there any personal projects during the gap? (keep it under 60 seconds)
999,Profile/Bio,Give a brief bio of Veera Mane. (STAR format)
1000,Experience & Projects,How do you ensure maintainability and scalability?
1001,Profile/Bio,Give a brief bio of {NAME}. (please be concise)
1002,Experience & Projects,What was your role in the {PROJECT} project? (please be concise)
1003,Experience & Projects,How do you de-risk complex deliveries?
1004,Experience & Projects,Describe a feature you took from idea to production. (STAR format)
1005,Career Gaps,Do you have any career gaps? (detail your role)
1006,Profile/Bio,Are you open to remote or hybrid roles? (focus on numbers)
1007,Experience & Projects,How do you handle requirement changes mid-project? (focus on numbers)
1008,Education,Did you receive any academic awards? (focus on numbers)
1009,Experience & Projects,Which metrics improved due to the e-commerce platform?
1010,Profile/Bio,What are your career goals for the next 2 years? (please be concise)
1011,Skills & Tech Stack,How do you handle authentication and authorization? (detail your role)
1012,Profile/Bio,Can you summarize your career journey so far? (detail your role)
1013,Compensation,What is your current CTC?
1014,Certifications,List your active certifications. (keep it under 60 seconds)
1015,Role/Company Fit & Match Score,Map your skills to the DevOps Engineer job description.
1016,Experience & Projects,What challenges did you overcome in the data warehouse modernization?
1017,Education,Do you mentor or teach others? (please be concise)
1018,Education,What is your highest degree? (focus on numbers)
1019,Profile/Bio,Elevator pitch: who are you and what do you do? (STAR format)
1020,Experience & Projects,What tech stack did you use for API platform? (focus on numbers)
1021,Experience & Projects,Describe your contribution to the API platform.
1022,Experience & Projects,What would you do differently in {PROJECT}? (STAR format)
1023,Profile/Bio,What's a quick overview of your professional background? (keep it under 60 seconds)
1024,Behavioral & Soft Skills,Describe a conflict you resolved. (keep it under 60 seconds)
1025,Skills & Tech Stack,How would you rate your proficiency in Java.
1026,Profile/Bio,How do teammates describe you? (please be concise)
1027,Skills & Tech Stack,Which version control workflows do you prefer? (please be concise)
1028,Career Gaps,Were there any personal projects during the gap? (STAR format)
1029,Career Gaps,How do you explain your career break from Jan 2022 to Aug 2022? (please be concise)
1030,Skills & Tech Stack,What is your core tech stack? (STAR format)
1031,Experience & Projects,Which metrics improved due to the microservices migration?
1032,Experience & Projects,Describe a time you optimized cost or latency.
1033,Profile/Bio,What are your long-term career aspirations? (detail your role)
1034,Education,What extracurriculars built relevant skills? (please be concise)
1035,Experience & Projects,How do you handle requirement changes mid-project? (STAR format)
1036,Skills & Tech Stack,Do you have experience with microservices? (STAR format)
1037,Skills & Tech Stack,"How do you orchestrate containers (e.g., Kubernetes)? (focus on numbers)"
1038,Experience & Projects,Describe an example of stakeholder management.
1039,Achievements & Impact,A time you automated a repetitive process—results? (detail your role)
1040,Career Gaps,What did you do during your gap to stay current? (please be concise)
1041,Experience & Projects,What trade-offs did you make in the API platform?
1042,Skills & Tech Stack,Rate your proficiency in Python. (STAR format)
1043,Experience & Projects,How did you ensure reliability and uptime?
1044,Education,What academic projects are relevant to your roles? (keep it under 60 seconds)
1045,Career Gaps,Did you upskill or freelance during the gap?
1046,Skills & Tech Stack,Self-assess your proficiency in your proficiency in Kubernetes.
1047,Role/Company Fit & Match Score,Give a 90-day plan for succeeding as a Product Engineer.
1048,Education,Do you mentor or teach others? (STAR format)
1049,Education,Have you completed online courses or MOOCs? (focus on numbers)
1050,Role/Company Fit & Match Score,Give a 90-day plan for succeeding as a SRE.
1051,Skills & Tech Stack,What ML/DL frameworks have you used? (detail your role)
1052,Skills & Tech Stack,How do you handle caching layers? (focus on numbers)
1053,Experience & Projects,"Describe a migration you executed (e.g., monolith to microservices)."
1054,Skills & Tech Stack,Rate your proficiency in Kubernetes.
1055,Skills & Tech Stack,Which version control workflows do you prefer? (STAR format)
1056,Learning & Growth,What are you learning right now?
1057,Profile/Bio,What domains have you worked in? (detail your role)
1058,Skills & Tech Stack,How do you handle authentication and authorization? (focus on numbers)
1059,Career Gaps,Did you upskill or freelance during the gap? (STAR format)
1060,Skills & Tech Stack,What is your approach to code reviews? (focus on numbers)
1061,Career Gaps,How did you plan your return to work? (detail your role)
1062,Profile/Bio,What roles are you currently targeting? (please be concise)
1063,Experience & Projects,What tech stack did you use for {PROJECT}? (please be concise)
1064,Experience & Projects,What performance improvements did you achieve? (keep it under 60 seconds)
1065,Behavioral & Soft Skills,How do you handle tight deadlines? (STAR format)
1066,Education,What thesis or capstone did you complete? (keep it under 60 seconds)
1067,Experience & Projects,How did you ensure reliability and uptime? (please be concise)
1068,Skills & Tech Stack,What databases have you used?
1069,Career Gaps,Did you upskill or freelance during the gap? (please be concise)
1070,Behavioral & Soft Skills,How do you manage up? (keep it under 60 seconds)
1071,Achievements & Impact,Have you won any awards or recognitions?
1072,Skills & Tech Stack,Which design patterns do you commonly use? (detail your role)
1073,Role/Company Fit & Match Score,Compute a match score for {ROLE} based on your skills.
1074,Experience & Projects,What would you refactor if you revisited the payment gateway integration?
1075,Experience & Projects,Describe an example of stakeholder management. (detail your role)
1076,Profile/Bio,What domains have you worked in? (keep it under 60 seconds)
1077,Skills & Tech Stack,How do you handle caching layers? (keep it under 60 seconds)
1078,Profile/Bio,Give a brief bio of Veera Mane.
1079,Experience & Projects,How do you sunset legacy systems safely? (please be concise)
1080,Skills & Tech Stack,Which programming languages are you most comfortable with? (focus on numbers)
1081,Skills & Tech Stack,How would you rate your proficiency in Kafka.
1082,Profile/Bio,What industries have you contributed to? (STAR format)
1083,Career Gaps,How do you explain your career break from {DATE_FROM} to {DATE_TO}? (STAR format)
1084,Skills & Tech Stack,List your top 10 technical skills.
1085,Certifications,Which certification are you planning next? (detail your role)
1086,Career Gaps,How do you address concerns about the gap? (STAR format)
1087,Career Gaps,What did you do during your gap to stay current?
1088,Education,What academic projects are relevant to your roles? (focus on numbers)
1089,Experience & Projects,Give an example of cross-team collaboration. (please be concise)
1090,Profile/Bio,List three words that best describe you professionally. (detail your role)
1091,Experience & Projects,What would you do differently in {PROJECT}?
1092,Skills & Tech Stack,Rate your proficiency in RabbitMQ.
1093,Skills & Tech Stack,What backend frameworks have you used? (focus on numbers)
1094,Behavioral & Soft Skills,Describe a time you influenced without authority. (keep it under 60 seconds)
1095,Skills & Tech Stack,List your top 10 technical skills. (STAR format)
1096,Bot & Meta,What can this portfolio chatbot do?
1097,Experience & Projects,How do you handle incident response? (focus on numbers)
1098,Achievements & Impact,How have you improved team productivity? (focus on numbers)
1099,Skills & Tech Stack,How would you rate your proficiency in TensorFlow.
1100,Profile/Bio,Give a brief bio of Veera Mane. (focus on numbers)
1101,Profile/Bio,Which locations are you open to? (please be concise)
1102,Skills & Tech Stack,What backend frameworks have you used?
1103,Work Preferences & Availability,What is your notice period?
1104,Profile/Bio,What makes you different from other candidates?
1105,Education,What is your highest degree? (detail your role)
1106,Behavioral & Soft Skills,How do you give and receive feedback? (please be concise)
1107,Skills & Tech Stack,Self-assess your proficiency in your proficiency in Git.
1108,Education,How did your education prepare you for industry? (keep it under 60 seconds)
1109,Skills & Tech Stack,What is your core tech stack? (keep it under 60 seconds)
1110,Experience & Projects,How do you handle requirement changes mid-project?
1111,Behavioral & Soft Skills,Describe a failure and what you learned. (keep it under 60 seconds)
1112,Skills & Tech Stack,What's your level in your proficiency in Flask.
1113,Skills & Tech Stack,"Have you implemented Infrastructure as Code (e.g., Terraform)? (focus on numbers)"
1114,Portfolio & Repos,Share your GitHub or GitLab profile.
1115,Skills & Tech Stack,Have you worked with message queues like Kafka or RabbitMQ? (keep it under 60 seconds)
1116,Skills & Tech Stack,What is your experience with serverless?
1117,Profile/Bio,What are your top strengths in one line? (please be concise)
1118,Experience & Projects,What tech stack did you use for {PROJECT}? (keep it under 60 seconds)
1119,Work Preferences & Availability,Preferred management style?
1120,Experience & Projects,What performance improvements did you achieve? (STAR format)
1121,Profile/Bio,What is your unique value proposition? (keep it under 60 seconds)
1122,Experience & Projects,What tech stack did you use for {PROJECT}? (STAR format)
1123,Certifications,Have you expired certifications to renew? (detail your role)
1124,Experience & Projects,How did you collaborate with designers/product managers? (focus on numbers)
1125,Education,What extracurriculars built relevant skills?
1126,Experience & Projects,Describe an example of stakeholder management. (please be concise)
1127,Skills & Tech Stack,What is your experience with REST vs GraphQL?
1128,Skills & Tech Stack,Have you built real-time systems (WebSockets/streaming)? (STAR format)
1129,Education,Where did you study {DEGREE}? (detail your role)
1130,Profile/Bio,How would you describe yourself in one paragraph? (please be concise)
1131,Role/Company Fit & Match Score,What differentiators increase your match score?
1132,Experience & Projects,How do you internationalize/localize applications? (STAR format)
1133,Skills & Tech Stack,Rate your proficiency in GraphQL.
1134,Career Gaps,Do you have any career gaps? (focus on numbers)
1135,Education,Where did you study {DEGREE}? (STAR format)
1136,Profile/Bio,What is your leadership style? (detail your role)
1137,Role/Company Fit & Match Score,What gaps would you close to excel as a Backend Engineer?
1138,Work Preferences & Availability,Do you require visa sponsorship?
1139,Behavioral & Soft Skills,Describe a time you influenced without authority. (STAR format)
1140,Skills & Tech Stack,What's your level in your proficiency in Java.
1141,Career Gaps,How do you explain your career break from {DATE_FROM} to {DATE_TO}? (focus on numbers)
1142,Portfolio & Repos,Do you have code samples or gists?
1143,Achievements & Impact,Share a time you reduced costs or increased revenue. (STAR format)
1144,Experience & Projects,What tech stack did you use for API platform? (STAR format)
1145,Education,Have you published papers or blogs? (please be concise)
1146,Education,What certifications complement your degree?
1147,Profile/Bio,What are your career goals for the next 2 years? (keep it under 60 seconds)
1148,Skills & Tech Stack,What's your level in your proficiency in Git.
1149,Experience & Projects,What would you refactor if you revisited the CI/CD pipeline overhaul?
1150,Role/Company Fit & Match Score,Explain why you're a strong fit for the Full-Stack Developer role.
1151,Experience & Projects,How do you estimate and plan sprints? (keep it under 60 seconds)
1152,Career Gaps,How did you plan your return to work? (STAR format)
1153,Certifications,Do you have security or compliance certifications? (please be concise)
1154,Experience & Projects,How did you measure success for real-time analytics system? (keep it under 60 seconds)
1155,Profile/Bio,How do you prioritize tasks? (keep it under 60 seconds)
1156,Education,Did you receive any academic awards? (STAR format)
1157,Experience & Projects,What’s a project you are most proud of and why? (keep it under 60 seconds)
1158,Experience & Projects,What was your role in the API platform project? (detail your role)
1159,Experience & Projects,What trade-offs did you make in the data warehouse modernization?
1160,Education,What thesis or capstone did you complete? (STAR format)
1161,Skills & Tech Stack,What databases have you used? (detail your role)
1162,Profile/Bio,What domains have you worked in? (please be concise)
1163,Career Gaps,Were there any personal projects during the gap? (detail your role)
1164,Profile/Bio,What is your unique value proposition? (please be concise)
1165,Education,Where did you study {DEGREE}? (please be concise)
1166,Profile/Bio,How do you handle feedback? (detail your role)
1167,Experience & Projects,What would you do differently in {PROJECT}? (please be concise)
1168,Profile/Bio,List three words that best describe you professionally. (focus on numbers)
1169,Experience & Projects,What was your role in the {PROJECT} project? (focus on numbers)
1170,Experience & Projects,What did you learn from a failed experiment? (focus on numbers)
1171,Experience & Projects,Describe a zero-to-one project you led.
1172,Experience & Projects,How do you internationalize/localize applications? (focus on numbers)
1173,Role/Company Fit & Match Score,Give a 90-day plan for succeeding as a Data Engineer.
1174,Role/Company Fit & Match Score,Explain why you're a strong fit for the Product Engineer role.
1175,Role/Company Fit & Match Score,Map your skills to the Full-Stack Developer job description.
1176,Skills & Tech Stack,What's your level in your proficiency in Jenkins.
1177,Experience & Projects,What were the biggest challenges in {PROJECT}? (focus on numbers)
1178,Skills & Tech Stack,Self-assess your proficiency in your proficiency in FastAPI.
1179,Skills & Tech Stack,What ML/DL frameworks have you used? (please be concise)
1180,Experience & Projects,How did you collaborate with designers/product managers?
1181,Career Gaps,What motivated the break and what did you learn? (detail your role)
1182,Achievements & Impact,List your top professional achievements. (STAR format)
1183,Certifications,Do you maintain CE credits (if applicable)? (please be concise)
1184,Portfolio & Repos,Any technical blogs or talks to share?
1185,Skills & Tech Stack,Rate your proficiency in {TECH}. (STAR format)
1186,Behavioral & Soft Skills,How do you foster inclusion and collaboration?
1187,Skills & Tech Stack,Rate your proficiency in Tableau.
1188,Skills & Tech Stack,Rate your proficiency in Git.
1189,Profile/Bio,What are your top strengths in one line? (detail your role)
1190,Experience & Projects,What would you refactor if you revisited the microservices migration?
1191,Certifications,List your active certifications. (STAR format)
1192,Skills & Tech Stack,How do you design APIs? (please be concise)
1193,Profile/Bio,Give a brief bio of {NAME}. (detail your role)
1194,Role/Company Fit & Match Score,"On a 0–100 scale, what's your match score for Product Engineer?"
1195,Skills & Tech Stack,What databases have you used? (keep it under 60 seconds)
1196,Experience & Projects,Walk me through your most impactful project. (keep it under 60 seconds)
1197,Skills & Tech Stack,What frontend frameworks have you used?
1198,Experience & Projects,Walk me through your most impactful project. (focus on numbers)
1199,Certifications,Do you maintain CE credits (if applicable)? (focus on numbers)
1200,Experience & Projects,How do you handle incident response? (keep it under 60 seconds)
